Category: All categories

Week,teya dora: (Serbia)
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,2
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,2
2024-02-25,42
2024-03-03,100
2024-03-10,12
2024-03-17,4
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,4
2024-04-28,6
2024-05-05,39
2024-05-12,13
2024-05-19,2
2024-05-26,1
2024-06-02,0
2024-06-09,1
2024-06-16,0
2024-06-23,1
2024-06-30,1
2024-07-07,1
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,0
2024-11-17,0
2024-11-24,0
2024-12-01,<1
2024-12-08,<1
2024-12-15,<1
